"","Taxon","Group","Difference","P_value"
"108","k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__","Control_days_0_to_7","NaN","NaN"
"109","k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__","Control_days_0_to_7","NaN","NaN"
"110","k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter","Control_days_0_to_7","NaN","NaN"
"111","k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium","Control_days_0_to_7","NaN","NaN"
"112","k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"113","k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__;g__","Control_days_0_to_7","NaN","NaN"
"114","k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__","Control_days_0_to_7","NaN","NaN"
"115","k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Flavisolibacter","Control_days_0_to_7","NaN","NaN"
"116","k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium","Control_days_0_to_7","NaN","NaN"
"117","k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Segetibacter","Control_days_0_to_7","NaN","NaN"
"118","k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__","Control_days_0_to_7","NaN","NaN"
"119","k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__;g__","Control_days_0_to_7","NaN","NaN"
"120","k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia","Control_days_0_to_7","NaN","NaN"
"121","k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__Candidatus Rhabdochlamydia","Control_days_0_to_7","NaN","NaN"
"122","k__Bacteria;p__Chlorobi;c__OPB56;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"123","k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__","Control_days_0_to_7","NaN","NaN"
"124","k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39;f__;g__","Control_days_0_to_7","NaN","NaN"
"125","k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__","Control_days_0_to_7","NaN","NaN"
"126","k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__Kouleothrix","Control_days_0_to_7","NaN","NaN"
"127","k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__;g__","Control_days_0_to_7","NaN","NaN"
"128","k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__","Control_days_0_to_7","-4.12714060835413","0.974965612185951"
"129","k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__;g__","Control_days_0_to_7","NaN","NaN"
"130","k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta;f__;g__","Control_days_0_to_7","NaN","NaN"
"131","k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__;g__","Control_days_0_to_7","NaN","NaN"
"132","k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__","Control_days_0_to_7","NaN","0.422649730810374"
"133","k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__;g__","Control_days_0_to_7","NaN","NaN"
"134","k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus","Control_days_0_to_7","NaN","NaN"
"135","k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum","Control_days_0_to_7","880.932799515199","0.0655304105187307"
"136","k__Bacteria;p__Firmicutes;Other;Other;Other;Other","Control_days_0_to_7","NaN","0.422649730810374"
